gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	WT_1_log2CPM	WT_2_log2CPM	WT_3_log2CPM	KO_1_log2CPM	KO_2_log2CPM	KO_3_log2CPM
Msto1	0.23304	5.5892	5.4471	0.00035864	0.0037553	-0.83308	5.3896	5.5317	5.5014	5.7301	5.6857	5.697
Neil1	-0.28016	3.63	-5.4433	0.00036048	0.0037721	-0.47879	3.7457	3.7587	3.8066	3.4172	3.5254	3.5265
Ddx58	-0.20612	6.1865	-5.4386	0.00036275	0.0037934	-0.90102	6.331	6.2536	6.2849	6.0851	6.1344	6.0298
Tns1	-1.0812	0.082983	-5.436	0.00036402	0.0038041	0.4681	0.62533	0.81228	0.39762	-0.1625	-0.74362	-0.43121
8430427H17Rik	0.25028	4.965	5.4343	0.00036484	0.0038102	-0.76912	4.8759	4.7706	4.8821	5.103	5.1348	5.0236
Acer2	0.42943	1.8506	5.4304	0.00036675	0.0038276	0.0071663	1.638	1.5958	1.6897	2.0783	2.0637	2.0381
Rab2b	-0.21875	4.1007	-5.4255	0.00036918	0.0038504	-0.61786	4.2268	4.1867	4.2171	3.9899	3.9834	4.0005
Tm2d1	-0.27477	3.3586	-5.4245	0.00036967	0.003853	-0.43499	3.4982	3.5304	3.4547	3.2455	3.2319	3.1908
Podnl1	-0.73579	0.33015	-5.4231	0.00037036	0.0038576	0.39365	0.65559	0.72452	0.72182	-0.075567	0.030105	-0.075549
Cd5	-2.3629	-1.8086	-5.4208	0.0003715	0.003867	0.29038	-0.83283	-0.36357	-0.66033	-3.2455	-2.2384	-3.5109
Tmed5	-0.18422	7.4679	-5.4172	0.00037334	0.0038821	-0.9898	7.5883	7.5857	7.5049	7.3452	7.3912	7.3922
0610010O12Rik	-0.9498	0.38568	-5.4161	0.00037387	0.0038821	0.37877	0.71429	0.94763	0.89275	-0.14469	-0.36391	0.26804
Alpk1	0.19088	5.5452	5.4161	0.00037387	0.0038821	-0.87314	5.4812	5.399	5.4706	5.6322	5.637	5.6515
Ap1m2	-0.60871	1.6583	-5.416	0.00037393	0.0038821	0.04591	1.7958	1.9922	2.1605	1.3984	1.3208	1.2823
Lactb2	-0.24541	5.3836	-5.4149	0.00037448	0.0038852	-0.8562	5.5946	5.4576	5.4591	5.227	5.2787	5.2844
Klhl26	0.27421	3.9723	5.414	0.00037493	0.0038871	-0.60399	3.8065	3.7926	3.9296	4.1518	4.0786	4.0747
Aph1b	-0.38123	2.953	-5.4136	0.00037516	0.0038871	-0.3372	3.2111	3.0684	3.1352	2.7245	2.6988	2.8798
Rdh11	-0.19329	5.8751	-5.4097	0.00037713	0.003905	-0.91681	6.0085	5.9902	5.9115	5.7953	5.7614	5.7835
Got1	-0.265	4.5261	-5.4088	0.00037755	0.003906	-0.73012	4.6263	4.6782	4.6845	4.4458	4.4319	4.29
Abhd14b	0.27448	4.3736	5.4085	0.00037772	0.003906	-0.69991	4.1685	4.3132	4.2299	4.502	4.5662	4.4617
Zfp518b	-0.25638	4.2479	-5.4076	0.00037816	0.003908	-0.67565	4.4483	4.3174	4.3566	4.1199	4.1025	4.1427
Hmga1	0.23339	7.6736	5.4053	0.00037934	0.0039176	-1.0092	7.5231	7.4995	7.6501	7.8005	7.8215	7.7471
Mkl2	0.31799	5.4477	5.4046	0.00037968	0.0039185	-0.87735	5.4201	5.163	5.2812	5.5988	5.6296	5.5935
Met	0.30588	7.4297	5.4	0.00038206	0.0039406	-1.0133	7.4252	7.1896	7.2138	7.5713	7.6076	7.571
C8g	-0.49374	1.5947	-5.3966	0.00038381	0.003956	0.031862	1.8003	1.9281	1.7796	1.3552	1.3134	1.3916
Prodh	0.21928	5.4968	5.3957	0.00038426	0.0039581	-0.8969	5.365	5.3481	5.4584	5.6146	5.6389	5.5559
Rab11fip5	-0.18134	5.4584	-5.3878	0.0003884	0.0039981	-0.90477	5.5496	5.5303	5.571	5.3997	5.3491	5.3507
Dna2	0.20066	6.7281	5.3857	0.00038946	0.0040054	-1.0107	6.6628	6.5655	6.6561	6.7944	6.8659	6.8237
4632434I11Rik	0.32516	4.5534	5.3854	0.00038961	0.0040054	-0.7677	4.5041	4.3674	4.277	4.6547	4.7877	4.7296
H2-D1	-0.20007	9.4723	-5.3845	0.00039013	0.0040081	-1.0423	9.496	9.5993	9.6217	9.3719	9.381	9.364
Cacna2d4	0.62093	1.7257	5.3788	0.00039313	0.0040362	-0.025751	1.2718	1.5736	1.4257	2.0783	2.1456	1.8594
H2-Q8	-0.27501	4.3899	-5.3749	0.00039521	0.004055	-0.75219	4.4309	4.5656	4.5957	4.2221	4.254	4.271
Gm1966	-0.68276	4.4612	-5.3744	0.00039547	0.004055	-0.76019	5.118	4.5989	4.6646	4.0616	4.2156	4.1085
Ercc5	0.31029	4.318	5.3725	0.00039647	0.0040627	-0.73963	4.2268	4.194	4.0447	4.4258	4.5655	4.4512
H2-T10	-0.295	3.8465	-5.3717	0.0003969	0.0040634	-0.63537	3.9518	4.0348	4.0061	3.7069	3.7772	3.6023
Ankrd52	0.2656	7.4475	5.3714	0.00039706	0.0040634	-1.0551	7.3972	7.2052	7.3423	7.5394	7.6293	7.5715
Gpr82	-1.3963	-0.64338	-5.3705	0.00039753	0.0040656	0.47021	0.30722	0.10651	-0.40124	-1.3849	-1.4001	-1.0877
Fam102a	-0.24482	5.5172	-5.3694	0.00039812	0.0040684	-0.93793	5.6688	5.5717	5.6865	5.462	5.377	5.3371
Phf10	-0.17214	6.6904	-5.3691	0.00039832	0.0040684	-1.0334	6.7493	6.8213	6.7575	6.5953	6.5992	6.6196
Fxyd5	-0.23673	8.2198	-5.3685	0.00039862	0.0040689	-1.0661	8.2501	8.4251	8.3393	8.0681	8.123	8.1132
Kcnip3	0.19358	5.4043	5.3666	0.00039964	0.0040757	-0.92815	5.2834	5.3453	5.2943	5.5398	5.4831	5.4801
Lrrc9	-3.3359	-3.3441	-5.3663	0.0003998	0.0040757	-0.77793	-1.5886	-1.6075	-1.8362	-4.6861	-4.9608	-5.3854
Fndc3a	-0.20009	7.5922	-5.3657	0.0004001	0.0040761	-1.0661	7.7644	7.665	7.6467	7.4892	7.4702	7.518
Uap1	-0.19137	5.6505	-5.359	0.00040378	0.0041109	-0.96797	5.7144	5.7934	5.7311	5.5698	5.5707	5.5237
Klf11	-0.41029	2.6771	-5.3572	0.00040474	0.0041181	-0.3387	3.0052	2.8182	2.7948	2.4417	2.4871	2.5155
Fam134b	-0.24696	6.1062	-5.3562	0.00040531	0.0041211	-1.014	6.3206	6.2186	6.1447	6.0251	5.9635	5.9646
Hoga1	-2.9837	-2.5607	-5.3491	0.00040919	0.0041579	-0.24593	-1.3696	-0.81103	-0.91864	-3.793	-3.8233	-4.6484
2700081O15Rik	-0.36207	2.731	-5.3481	0.00040975	0.0041606	-0.36792	2.8216	2.9658	2.9616	2.5276	2.5736	2.5354
Tmem194	-0.22352	5.6655	-5.3475	0.00041006	0.0041606	-0.98604	5.8583	5.7518	5.7164	5.5755	5.5467	5.5441
Xpo4	0.4186	6.2123	5.3472	0.00041024	0.0041606	-1.0334	6.2085	5.848	5.9459	6.3745	6.4571	6.44
Sap30	-0.29592	4.2913	-5.3454	0.00041125	0.0041675	-0.77434	4.3637	4.4365	4.5311	4.159	4.0587	4.1989
Ly6i	-0.76061	0.89751	-5.345	0.00041145	0.0041675	0.15296	1.1281	1.4815	1.2355	0.6307	0.47877	0.43051
Klhdc2	0.19528	5.2991	5.344	0.00041202	0.0041697	-0.94766	5.1913	5.2411	5.1659	5.3651	5.4053	5.426
Msrb3	-1.3191	-0.19859	-5.3437	0.0004122	0.0041697	0.39453	0.59441	0.16695	0.64734	-1.1896	-0.4626	-0.948
Zfp280d	-0.24326	5.5815	-5.3414	0.0004135	0.0041802	-0.98585	5.7897	5.6201	5.6975	5.4496	5.4555	5.4765
Irf2bp2	-0.20257	6.7848	-5.3394	0.0004146	0.0041886	-1.081	6.8179	6.9418	6.8987	6.6555	6.693	6.7019
Cbln3	-0.97661	0.41818	-5.3382	0.00041526	0.0041926	0.26647	1.0991	0.64176	0.98636	-0.0096034	-0.24935	0.040861
Tpst1	-0.2754	3.4764	-5.335	0.00041706	0.0042081	-0.59522	3.6106	3.591	3.6557	3.3946	3.3087	3.2976
Lrp10	-0.21236	6.9505	-5.3338	0.00041777	0.0042126	-1.0963	7.0193	7.0086	7.1452	6.8416	6.8319	6.8563
D17H6S56E-3	0.60187	1.4489	5.3307	0.0004195	0.0042274	-0.016891	0.96045	1.2635	1.2355	1.7136	1.6801	1.8402
Hbb-y	1.4702	-1.0163	5.3207	0.00042522	0.0042821	0.40776	-1.6864	-1.6075	-2.0675	-0.48219	-0.02539	-0.2289
Tpm1	0.17463	6.2856	5.3203	0.00042548	0.0042821	-1.0794	6.1578	6.1984	6.242	6.3672	6.3849	6.3632
Abhd16a	0.25371	5.4172	5.3188	0.00042633	0.004288	-0.99881	5.254	5.2252	5.4051	5.5529	5.5033	5.5627
Prss57	-0.16014	6.9768	-5.3164	0.00042772	0.0042991	-1.1228	7.0401	7.0435	7.0883	6.9114	6.8754	6.9022
Hsp90b1	-0.17161	9.8371	-5.316	0.00042798	0.0042991	-1.1406	9.9557	9.9367	9.8766	9.7261	9.7625	9.7652
Snx5	-0.15829	8.4872	-5.3147	0.00042874	0.004304	-1.1445	8.5773	8.5844	8.5373	8.3847	8.4118	8.4277
Yipf5	-0.18551	5.86	-5.3112	0.00043074	0.0043169	-1.0583	5.9287	6.0014	5.9273	5.7805	5.7821	5.7398
Glt1d1	-5.8608	-2.3008	-5.3111	0.0004308	0.0043169	-0.90199	0.83382	0.58752	0.79264	-1.7655	-7.2828	-6.9704
Spna2	0.18384	8.1552	5.3111	0.00043084	0.0043169	-1.1492	8.1102	8.0158	8.0637	8.2511	8.2774	8.2128
Edc4	0.20869	6.4009	5.3087	0.00043225	0.0043282	-1.104	6.2525	6.2619	6.3807	6.4804	6.5198	6.51
Pdcd11	0.19172	7.1508	5.3064	0.00043359	0.0043389	-1.143	7.0514	7.0503	7.0637	7.2048	7.3173	7.2175
AF251705	-0.40944	2.4747	-5.3043	0.0004348	0.0043482	-0.35567	2.5983	2.7968	2.6353	2.2764	2.266	2.2752
Ptk2b	-0.15711	7.5169	-5.3013	0.00043659	0.0043634	-1.1588	7.6058	7.6087	7.5716	7.4146	7.4626	7.4384
4933432B09Rik	0.75975	0.86907	5.3002	0.00043724	0.0043671	0.096458	0.47502	0.29432	0.79264	1.3552	1.1643	1.1329
1700086O06Rik	0.73638	1.579	5.2985	0.00043825	0.0043745	-0.093035	1.1915	1.2356	1.1571	1.689	2.0548	2.146
Dcxr	0.43742	3.0783	5.2969	0.0004392	0.0043812	-0.53958	2.7131	2.8714	3.0474	3.3653	3.2181	3.2548
Tifab	-0.24393	4.8969	-5.2963	0.00043955	0.0043819	-0.95915	4.9612	5.0756	5.0177	4.7145	4.8267	4.7858
Satb1	-0.36229	3.1843	-5.2945	0.00044066	0.0043902	-0.57418	3.4472	3.3806	3.2529	3.1	2.9663	2.9589
Sars	-0.171	6.9452	-5.292	0.00044213	0.0044021	-1.1571	7.0005	7.08	7.0108	6.8505	6.8697	6.8597
Mttp	0.42517	1.9348	5.2903	0.00044317	0.0044097	-0.2174	1.7357	1.6655	1.7796	2.1158	2.2031	2.1091
Eef2k	0.16283	8.306	5.2888	0.00044405	0.0044156	-1.1819	8.2477	8.2088	8.2172	8.3542	8.4212	8.3869
H2-K2	-0.53048	1.6525	-5.2843	0.00044681	0.0044397	-0.14285	1.7822	1.9838	2.02	1.4284	1.3356	1.365
Gm10863	0.33574	2.9463	5.2839	0.00044704	0.0044397	-0.52267	2.701	2.8462	2.7991	3.1167	3.1529	3.0617
9130206I24Rik	0.29322	3.6447	5.283	0.00044758	0.0044423	-0.71343	3.4771	3.443	3.5851	3.7348	3.7745	3.8538
Hsd17b12	-0.14758	7.0985	-5.2777	0.00045085	0.0044698	-1.1836	7.1609	7.188	7.1679	7.0218	7.0224	7.0302
Phf19	0.21272	4.7593	5.2776	0.00045091	0.0044698	-0.96324	4.6244	4.6254	4.7224	4.8813	4.866	4.8366
Ccnd1	-0.14381	7.3227	-5.2765	0.00045158	0.0044737	-1.1914	7.3962	7.3944	7.3933	7.2543	7.2511	7.2471
Tusc3	-0.21411	4.4361	-5.2756	0.00045211	0.0044739	-0.90647	4.5505	4.5465	4.5285	4.3493	4.2771	4.3645
Samsn1	-0.17359	7.4712	-5.2754	0.00045228	0.0044739	-1.196	7.574	7.5876	7.5112	7.3763	7.3618	7.4161
Tceanc	-0.32427	3.1342	-5.2751	0.00045246	0.0044739	-0.58914	3.3747	3.285	3.2179	3.0134	2.9945	2.9199
Stk38l	-0.28995	3.2858	-5.2741	0.00045306	0.0044771	-0.63285	3.48	3.4106	3.4019	3.1728	3.1715	3.0781
5730528L13Rik	-4.0557	-2.9311	-5.2714	0.00045475	0.004491	-0.79737	-0.77786	-1.031	-0.66033	-4.034	-4.1129	-6.9704
Agrn	-0.29918	4.777	-5.2699	0.00045566	0.0044971	-0.97711	4.946	4.8476	5.0056	4.7176	4.6094	4.5359
Gcat	-0.2099	5.4952	-5.2661	0.00045804	0.0045178	-1.0861	5.5486	5.5815	5.6795	5.3963	5.3903	5.3753
Alad	0.34878	4.0703	5.2618	0.00046069	0.0045411	-0.84644	3.8508	3.7974	4.0805	4.2859	4.2106	4.1964
Tmod3	-0.21136	7.5021	-5.2566	0.00046398	0.0045707	-1.224	7.6891	7.5898	7.5431	7.3746	7.3921	7.4239
Zdhhc8	0.36532	5.0077	5.2553	0.0004648	0.0045759	-1.0345	4.8516	4.6534	4.9953	5.1872	5.1892	5.1695
Axl	0.2759	3.2368	5.2548	0.00046516	0.0045766	-0.64729	3.1236	3.0881	3.0867	3.4187	3.3602	3.3437
Amica1	-2.9258	-2.6858	-5.2522	0.00046679	0.0045898	-0.35425	-1.4108	-0.93259	-1.4618	-4.6861	-4.1129	-3.5109
Gdap10	-0.6561	1.805	-5.2486	0.00046909	0.0046095	-0.23414	2.28	1.8928	2.245	1.4225	1.5214	1.4684
Smyd5	0.17012	6.2249	5.245	0.00047142	0.0046283	-1.1851	6.1117	6.1661	6.1426	6.3074	6.3394	6.2822
Usp33	-0.18489	5.8968	-5.2447	0.00047159	0.0046283	-1.1589	6.0402	5.9564	5.97	5.8005	5.8288	5.7851
Tspan2	-3.9708	-1.1881	-5.2405	0.00047434	0.0046524	0.077517	1.1353	0.75437	0.66632	-0.92356	-4.9608	-3.8004
Oas2	-0.21803	4.9289	-5.2398	0.00047478	0.0046537	-1.047	4.9887	5.0254	5.1089	4.7905	4.8468	4.813
Ubtd1	0.29205	3.6851	5.2394	0.00047506	0.0046537	-0.78747	3.5528	3.4445	3.6414	3.8414	3.8053	3.8249
Sgk3	-0.20547	6.8872	-5.2355	0.00047759	0.0046743	-1.2376	7.0527	7.0037	6.9097	6.7671	6.7931	6.7967
Vldlr	-6.56	-1.6417	-5.2352	0.00047776	0.0046743	-0.75983	1.8183	1.8972	1.5227	-0.83521	-7.2828	-6.9704
Ccnl2	-0.18664	6.9993	-5.2347	0.0004781	0.0046748	-1.2431	7.0746	7.0616	7.144	6.8976	6.9499	6.8681
A130049A11Rik	0.77097	0.17708	5.2331	0.00047913	0.0046819	0.1634	-0.24321	-0.28051	-0.051906	0.60987	0.531	0.49724
Ctdsp2	0.15512	7.4919	5.2323	0.00047965	0.0046841	-1.2592	7.4433	7.4157	7.3833	7.5745	7.5769	7.5577
Ephb4	-4.0161	-3.4919	-5.2313	0.00048034	0.004688	-1.147	-1.497	-1.2906	-1.5467	-4.6861	-4.9608	-6.9704
Map1lc3a	-1.1082	0.38258	-5.2289	0.00048193	0.0047006	0.12917	0.81606	1.0793	0.97118	0.28137	-0.59628	-0.25612
Fam43a	-0.54353	1.2448	-5.2271	0.00048308	0.0047089	-0.11195	1.5003	1.4392	1.6329	0.97011	0.9021	1.024
Dnajb9	-0.21262	5.2349	-5.2242	0.00048505	0.0047252	-1.115	5.3993	5.3449	5.2704	5.143	5.1055	5.1463
Zdhhc5	0.22175	6.9559	5.2219	0.00048657	0.0047371	-1.2599	6.9164	6.7705	6.8486	7.071	7.1076	7.0211
C030039L03Rik	-0.70454	1.1065	-5.2211	0.00048708	0.0047391	-0.079944	1.3664	1.5225	1.4588	0.70134	0.54377	1.0464
Tagap	-0.29105	4.0367	-5.2192	0.00048838	0.0047489	-0.90255	4.1286	4.2897	4.1154	3.8745	3.9064	3.9054
Gpr25	-3.2189	-2.5109	-5.217	0.00048982	0.0047599	-0.3479	-0.67384	-0.62021	-1.5467	-3.5865	-4.4754	-4.163
Myh9	0.25666	9.3353	5.2147	0.0004914	0.0047724	-1.2905	9.2431	9.1	9.2777	9.4306	9.5266	9.4336
Impdh1	-0.22407	5.8484	-5.2046	0.00049825	0.0048355	-1.2133	5.9131	5.9201	6.0548	5.7095	5.7283	5.765
Ldlrap1	0.1586	6.4494	5.2042	0.00049852	0.0048355	-1.2604	6.3786	6.3396	6.3939	6.5339	6.5361	6.5143
Rac2	0.17281	8.8168	5.1991	0.00050204	0.0048667	-1.314	8.705	8.6984	8.7877	8.8887	8.9135	8.9073
Zfp654	-0.22252	5.6333	-5.1983	0.00050258	0.0048682	-1.201	5.805	5.7493	5.6707	5.5333	5.4757	5.5656
Alg12	-0.2864	3.6032	-5.1979	0.00050281	0.0048682	-0.82789	3.7197	3.7401	3.798	3.4702	3.527	3.3639
Atp1a3	-0.30416	5.3677	-5.1964	0.00050388	0.0048755	-1.1725	5.5273	5.4603	5.586	5.3412	5.1713	5.1201
Inpp1	0.26915	4.5074	5.1946	0.00050514	0.0048825	-1.0382	4.4576	4.282	4.374	4.6148	4.6275	4.6883
Gm10123	-0.27072	4.2263	-5.1945	0.00050522	0.0048825	-0.9814	4.4133	4.3937	4.263	4.0854	4.1565	4.0457
Itpr2	-0.38829	2.6217	-5.1924	0.00050668	0.0048937	-0.56216	2.7924	2.8439	2.7861	2.3188	2.4263	2.563
Gm4070	-1.1367	0.99191	-5.1879	0.00050979	0.0049207	-0.076757	1.8093	1.1483	1.7532	0.47812	0.21707	0.54533
Zfp251	0.21218	4.492	5.1872	0.00051032	0.0049228	-1.0468	4.4206	4.3858	4.3404	4.5636	4.6192	4.6226
Pls3	-6.4969	-1.3822	-5.1825	0.00051362	0.0049516	-0.65833	2.0062	1.9754	2.0707	-0.09254	-7.2828	-6.9704
Wdr35	-1.0615	-0.10107	-5.1799	0.00051541	0.0049658	0.15151	0.54136	0.19624	0.6281	-0.4166	-0.77498	-0.78054
Slfn5	-0.34202	5.4145	-5.1785	0.00051643	0.0049726	-1.2045	5.7438	5.499	5.504	5.2064	5.3066	5.2272
Rcl1	0.21041	5.8275	5.1766	0.00051781	0.0049829	-1.2521	5.6607	5.7616	5.7485	5.9193	5.9842	5.8909
Hbb-b2	-0.37797	7.5148	-5.1754	0.00051867	0.0049881	-1.3435	7.6407	7.756	7.7138	7.3603	7.1417	7.4765
Rnf130	-0.14676	8.0329	-5.1748	0.00051908	0.0049885	-1.3492	8.0862	8.1275	8.1052	7.9605	7.9693	7.9488
Ptpro	-1.3555	-0.88135	-5.1744	0.00051934	0.0049885	0.22512	-0.18841	-0.039506	-0.40124	-1.1896	-1.9252	-1.5441
2310016M24Rik	0.28333	4.2367	5.1706	0.0005221	0.005012	-1.0181	4.0203	4.0963	4.1813	4.3773	4.2998	4.4448
Lhpp	0.25248	3.883	5.1682	0.00052383	0.0050255	-0.94103	3.7434	3.8058	3.7207	4.0568	4.0193	3.9522
Ttc21a	0.35794	2.8602	5.1673	0.00052443	0.0050265	-0.66777	2.7345	2.6163	2.7104	3.0962	3.0715	2.932
Spcs2	-0.15381	7.9751	-5.1667	0.0005249	0.0050265	-1.3609	8.0188	8.0831	8.0541	7.8897	7.9058	7.899
Scp2	-0.1741	7.5885	-5.1655	0.00052576	0.0050265	-1.3595	7.6649	7.7268	7.6342	7.4734	7.516	7.5155
Tle6	-0.2942	4.0469	-5.1654	0.0005258	0.0050265	-0.98369	4.142	4.2466	4.2074	3.9979	3.8689	3.8184
Rnf181	-0.16918	6.3856	-5.1652	0.00052599	0.0050265	-1.3142	6.4258	6.4903	6.4956	6.2985	6.2832	6.3201
Iscu	0.23936	4.6531	5.165	0.00052611	0.0050265	-1.1097	4.4468	4.5691	4.5944	4.7465	4.7836	4.7782
Eapp	-0.16797	5.207	-5.165	0.00052616	0.0050265	-1.1985	5.2955	5.2766	5.3019	5.1261	5.112	5.13
Smpd4	0.18935	6.4896	5.161	0.00052907	0.0050513	-1.3266	6.3918	6.3417	6.4555	6.5798	6.6118	6.557
Mysm1	0.27148	5.9666	5.1578	0.00053139	0.0050704	-1.2923	5.9512	5.7493	5.7875	6.0749	6.1496	6.0871
Npc2	-0.16447	8.5841	-5.1571	0.00053191	0.0050722	-1.3761	8.6359	8.68	8.6832	8.4626	8.5084	8.5347
Lrrc16a	-1.3426	-1.1567	-5.156	0.00053267	0.0050764	0.1959	-0.53065	-0.5949	-0.25121	-1.7121	-1.9252	-1.926
Asnsd1	-0.14863	6.5098	-5.155	0.00053346	0.0050802	-1.3371	6.6003	6.5828	6.5683	6.4404	6.4348	6.432
Itm2a	-6.5545	-1.8738	-5.1542	0.00053399	0.0050802	-0.95033	1.3293	1.7715	1.4257	-1.5161	-7.2828	-6.9704
Fzd4	-0.40221	3.7715	-5.1542	0.00053403	0.0050802	-0.93326	4.1259	3.8685	3.9177	3.5787	3.6605	3.4777
Chac1	-0.62536	1.3755	-5.1485	0.00053828	0.0051175	-0.2599	1.8751	1.6444	1.5122	1.1612	1.0704	0.98964
Tmem51	-0.99693	0.6012	-5.1479	0.00053869	0.0051183	-0.041682	0.85136	1.1558	1.3098	0.053475	-0.2275	0.46426
Igfbp4	0.17533	8.5928	5.1455	0.0005405	0.0051325	-1.3932	8.457	8.5181	8.5404	8.6538	8.6686	8.7191
Vmac	0.2562	3.3266	5.143	0.00054237	0.0051471	-0.83592	3.1802	3.2276	3.1821	3.4351	3.4612	3.4736
Dcaf8	0.14909	7.9359	5.1405	0.0005442	0.0051614	-1.3991	7.8706	7.86	7.8534	7.999	8.0408	7.9916
Erf	-0.33845	4.5657	-5.1396	0.0005449	0.0051649	-1.1301	4.7032	4.622	4.9063	4.3642	4.4328	4.3656
Irf1	-0.24062	6.0954	-5.1377	0.00054635	0.0051756	-1.3337	6.1201	6.294	6.2365	5.991	5.997	5.9341
Sema4d	-0.16217	7.2363	-5.1357	0.00054781	0.0051863	-1.3967	7.3549	7.2931	7.3037	7.1355	7.1844	7.1461
Creb3l2	-0.24342	5.6318	-5.1338	0.00054927	0.0051934	-1.296	5.8392	5.6696	5.7485	5.4686	5.5199	5.5451
Rnf19a	-0.18989	5.2371	-5.1336	0.00054946	0.0051934	-1.2491	5.3779	5.3193	5.292	5.1224	5.1406	5.1701
6330545A04Rik	0.75426	0.89356	5.1335	0.00054954	0.0051934	-0.14619	0.50857	0.49625	0.58884	1.2977	1.4688	1.0012
Filip1l	-0.26568	4.5836	-5.1322	0.00055054	0.0051997	-1.1456	4.8085	4.6808	4.6491	4.4258	4.5129	4.4246
2310035C23Rik	0.21086	5.9888	5.1311	0.00055132	0.005204	-1.334	5.9596	5.8248	5.865	6.1244	6.0943	6.0649
Fam174a	-0.2576	4.24	-5.1282	0.00055358	0.0052212	-1.0823	4.306	4.4556	4.3419	4.1327	4.0885	4.1151
Mthfd1	0.1605	7.1292	5.1279	0.00055381	0.0052212	-1.4052	7.059	7.0437	7.0441	7.1853	7.2545	7.1886
Pcdhb17	-0.83218	0.62854	-5.1274	0.00055421	0.0052219	-0.084013	1.2255	0.85882	1.0884	0.39532	0.18483	0.018318
4933436C20Rik	0.48066	2.1388	5.1234	0.00055728	0.0052477	-0.51858	1.731	1.9838	2.02	2.3661	2.4332	2.2988
Cables1	0.21105	4.2937	5.1217	0.00055859	0.005256	-1.1034	4.1893	4.203	4.173	4.4138	4.4319	4.351
Nusap1	-0.17572	7.0182	-5.1213	0.00055883	0.005256	-1.4113	7.1397	7.1078	7.0684	6.899	6.9164	6.9779
Acad12	0.37837	2.2379	5.1187	0.0005609	0.0052723	-0.55626	2.0972	2.0333	2.0126	2.4388	2.4871	2.3583
Mcts1	-0.16253	5.8179	-5.1176	0.00056178	0.0052766	-1.3393	5.8968	5.9148	5.8849	5.722	5.7666	5.7225
Fbxo5	-0.19941	5.6203	-5.1172	0.00056203	0.0052766	-1.3196	5.7293	5.7551	5.6701	5.4794	5.575	5.5127
A830093I24Rik	-4.7412	-4.3411	-5.1136	0.00056483	0.0052998	-1.7867	-1.738	-2.3111	-1.8362	-5.9085	-7.2828	-6.9704
Ttc3	0.21304	7.0238	5.112	0.00056614	0.0053089	-1.425	7.0105	6.8559	6.8838	7.1345	7.1317	7.1263
Tnnc1	0.84266	0.0012175	5.1103	0.00056743	0.0053158	0.028886	-0.55355	-0.36357	-0.28728	0.52339	0.38256	0.30576
Rrm2	-0.16655	7.8404	-5.1102	0.00056755	0.0053158	-1.444	7.9173	7.9395	7.9142	7.7068	7.7973	7.7675
Nnt	0.1563	7.1392	5.1005	0.00057522	0.0053845	-1.4461	7.0958	7.0572	7.029	7.2054	7.2347	7.2132
Slc5a3	-0.35102	3.3554	-5.0998	0.00057582	0.0053869	-0.90704	3.6449	3.4896	3.4299	3.1222	3.2476	3.1983
Rcn3	3.0579	-2.6332	5.0974	0.0005777	0.0054013	-0.53161	-4.712	-2.9168	-5.0061	-0.95426	-1.2167	-0.99309
5033414D02Rik	0.19856	4.5247	5.094	0.00058045	0.0054239	-1.1913	4.4044	4.4296	4.4485	4.6232	4.6557	4.5866
Lamc1	-4.7168	-2.7114	-5.0925	0.00058164	0.0054317	-0.95669	-0.22471	-0.52152	-0.11533	-2.7385	-7.2828	-5.3854
Tcf12	0.20354	6.7792	5.091	0.00058286	0.0054375	-1.4461	6.7516	6.6318	6.6463	6.853	6.8672	6.9255
Nudt7	0.26557	4.5969	5.0909	0.00058294	0.0054375	-1.2087	4.425	4.5337	4.4209	4.6477	4.764	4.7899
Tbl2	-0.19276	6.0029	-5.0898	0.00058385	0.0054427	-1.3973	6.0551	6.1603	6.0807	5.8777	5.9371	5.9063
Tbc1d2	-0.22432	4.3079	-5.0878	0.00058541	0.0054541	-1.1568	4.4345	4.3722	4.4635	4.2366	4.1617	4.1787
Rab5a	-0.1971	5.7205	-5.0861	0.00058684	0.0054642	-1.3764	5.8846	5.7859	5.7815	5.5982	5.6224	5.6505
Dnaja2	0.15357	7.7061	5.083	0.00058935	0.0054843	-1.4829	7.636	7.6418	7.6099	7.7524	7.8148	7.7819
Fam63b	-0.2672	5.8479	-5.0823	0.00058992	0.0054864	-1.3942	6.1049	5.8963	5.9386	5.7119	5.7018	5.7342
Gtf2i	0.14717	8.2552	5.0795	0.00059228	0.0055051	-1.491	8.2056	8.1658	8.1733	8.314	8.3491	8.3232
snoU109	0.84319	0.085148	5.0761	0.00059504	0.0055274	-0.032807	-0.10148	-0.40696	-0.5687	0.48957	0.56897	0.52948
Eif2s2	-0.16736	7.9554	-5.0733	0.00059737	0.0055459	-1.4995	8.0661	8.0633	7.9876	7.8484	7.8949	7.872
Gtf2e2	-0.20069	5.7973	-5.069	0.00060093	0.0055756	-1.4094	5.8632	5.963	5.8619	5.671	5.6846	5.7398
P4htm	-1.2268	-0.57555	-5.0676	0.00060212	0.0055834	0.06417	-0.019485	0.10651	0.095436	-0.72523	-1.5549	-1.3557
Srgn	-0.14831	9.4353	-5.0648	0.0006045	0.0056022	-1.5126	9.4882	9.5282	9.5121	9.3435	9.3539	9.3862
